Epoch [62], last_lr: 0.00054, train_loss: 0.1142, val_loss: 1.0713, val_acc: 0.8546
Epoch [63], last_lr: 0.00052, train_loss: 0.0939, val_loss: 1.2344, val_acc: 0.8468
Epoch [64], last_lr: 0.00050, train_loss: 0.0840, val_loss: 1.1457, val_acc: 0.8150
Epoch [65], last_lr: 0.00048, train_loss: 0.0772, val_loss: 1.1518, val_acc: 0.8159
Epoch [66], last_lr: 0.00046, train_loss: 0.0889, val_loss: 1.3440, val_acc: 0.7730
Epoch [67], last_lr: 0.00043, train_loss: 0.0721, val_loss: 1.1864, val_acc: 0.8323
Epoch [68], last_lr: 0.00041, train_loss: 0.0741, val_loss: 1.4154, val_acc: 0.7822
Epoch [69], last_lr: 0.00039, train_loss: 0.0538, val_loss: 1.2086, val_acc: 0.8366
Epoch [70], last_lr: 0.00037, train_loss: 0.0588, val_loss: 1.3669, val_acc: 0.7820
Epoch [71], last_lr: 0.00035, train_loss: 0.0448, val_loss: 1.3416, val_acc: 0.8200
Epoch [72], last_lr: 0.00032, train_loss: 0.0404, val_loss: 1.2791, val_acc: 0.8113
Epoch [73], last_lr: 0.00030, train_loss: 0.0435, val_loss: 1.5394, val_acc: 0.7464
Epoch [74], last_lr: 0.00028, train_loss: 0.0358, val_loss: 1.1737, val_acc: 0.8140
Epoch [75], last_lr: 0.00026, train_loss: 0.0335, val_loss: 1.6374, val_acc: 0.7199
Epoch [76], last_lr: 0.00024, train_loss: 0.0288, val_loss: 0.9744, val_acc: 0.8285
Epoch [77], last_lr: 0.00022, train_loss: 0.0285, val_loss: 1.1418, val_acc: 0.7877
Epoch [78], last_lr: 0.00021, train_loss: 0.0267, val_loss: 1.0770, val_acc: 0.8218
Epoch [79], last_lr: 0.00019, train_loss: 0.0250, val_loss: 0.9682, val_acc: 0.9047
Epoch [80], last_lr: 0.00017, train_loss: 0.0261, val_loss: 1.2792, val_acc: 0.8579
Epoch [81], last_lr: 0.00015, train_loss: 0.0183, val_loss: 1.2881, val_acc: 0.8453
Epoch [82], last_lr: 0.00014, train_loss: 0.0175, val_loss: 0.8637, val_acc: 0.9025
Epoch [83], last_lr: 0.00012, train_loss: 0.0169, val_loss: 1.3351, val_acc: 0.8151
Epoch [84], last_lr: 0.00011, train_loss: 0.0143, val_loss: 1.1938, val_acc: 0.8497
Epoch [85], last_lr: 0.00010, train_loss: 0.0134, val_loss: 1.0730, val_acc: 0.8515
Epoch [86], last_lr: 0.00008, train_loss: 0.0125, val_loss: 1.1998, val_acc: 0.8545
Epoch [87], last_lr: 0.00007, train_loss: 0.0102, val_loss: 1.1478, val_acc: 0.8675
Epoch [88], last_lr: 0.00006, train_loss: 0.0115, val_loss: 1.2379, val_acc: 0.8280
Epoch [89], last_lr: 0.00005, train_loss: 0.0085, val_loss: 1.0853, val_acc: 0.8746
Epoch [90], last_lr: 0.00004, train_loss: 0.0084, val_loss: 0.8868, val_acc: 0.9064
Epoch [91], last_lr: 0.00003, train_loss: 0.0079, val_loss: 1.0023, val_acc: 0.8896
Epoch [92], last_lr: 0.00002, train_loss: 0.0073, val_loss: 1.1538, val_acc: 0.8396
Epoch [93], last_lr: 0.00002, train_loss: 0.0071, val_loss: 0.9192, val_acc: 0.8884
Epoch [94], last_lr: 0.00001, train_loss: 0.0063, val_loss: 1.1911, val_acc: 0.8576
Epoch [95], last_lr: 0.00001, train_loss: 0.0053, val_loss: 1.0747, val_acc: 0.8953
Epoch [96], last_lr: 0.00000, train_loss: 0.0047, val_loss: 1.2587, val_acc: 0.8317
Epoch [97], last_lr: 0.00000, train_loss: 0.0048, val_loss: 0.9940, val_acc: 0.8756
Epoch [98], last_lr: 0.00000, train_loss: 0.0053, val_loss: 1.0373, val_acc: 0.8708
Epoch [99], last_lr: 0.00000, train_loss: 0.0059, val_loss: 1.0802, val_acc: 0.8873
CPU times: user 4h 25s, sys: 3h 16min 37s, total: 7h 17min 3s
Wall time: 7h 11min 1s
